,id,publish_date,sold_date,days_to_sell
645,3593,2016-03-27,2016-04-07,11
646,3607,2016-03-27,2016-04-07,11
647,3608,2016-03-27,2016-04-16,20
648,3622,2016-03-27,2016-04-30,34
649,3662,2016-03-27,2016-06-02,67
650,3671,2016-03-27,2016-04-16,20
651,3701,2016-03-27,2016-04-07,11
652,3704,2016-03-27,2016-04-20,24
653,3705,2016-03-27,2016-04-07,11
654,3709,2016-03-27,2016-05-13,47
655,3713,2016-03-27,2016-04-30,34
656,3729,2016-03-27,2016-04-16,20
657,3732,2016-03-27,2016-04-30,34
658,3736,2016-03-27,2016-04-21,25
659,3739,2016-03-27,2016-04-30,34
660,3759,2016-03-27,2016-04-07,11
661,3775,2016-03-27,2016-05-18,52
662,3779,2016-03-27,2016-04-16,20
663,3781,2016-03-27,2016-05-10,44
664,3792,2016-03-27,2016-04-16,20
665,3796,2016-03-27,2016-06-05,70
666,3798,2016-03-27,2016-06-03,68
667,3799,2016-03-27,2016-04-07,11
668,3801,2016-03-27,2016-04-30,34
